domain,success,redirected_url,error,tech_cdn,tech_js_frameworks,server_server,server_cloudflare,server_CF-Cache-Status,server_CF-RAY
jordndj2x.cc ,False,,"Both HTTPS and HTTP failed: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
  (Session info: chrome=134.0.6998.88)
Stacktrace:
#0 0x561dfc594a1a <unknown>
#1 0x561dfc04c390 <unknown>
#2 0x561dfc043518 <unknown>
#3 0x561dfc033a39 <unknown>
#4 0x561dfc03573d <unknown>
#5 0x561dfc033dce <unknown>
#6 0x561dfc033775 <unknown>
#7 0x561dfc033449 <unknown>
#8 0x561dfc031159 <unknown>
#9 0x561dfc031a2a <unknown>
#10 0x561dfc04f829 <unknown>
#11 0x561dfc0ead85 <unknown>
#12 0x561dfc0c3bd2 <unknown>
#13 0x561dfc0ea07b <unknown>
#14 0x561dfc0c39a3 <unknown>
#15 0x561dfc08f60e <unknown>
#16 0x561dfc090dd1 <unknown>
#17 0x561dfc55addb <unknown>
#18 0x561dfc55ecbc <unknown>
#19 0x561dfc542392 <unknown>
#20 0x561dfc55f834 <unknown>
#21 0x561dfc5261ef <unknown>
#22 0x561dfc583038 <unknown>
#23 0x561dfc583216 <unknown>
#24 0x561dfc593896 <unknown>
#25 0x7f3f212b01c4 <unknown>
 | Message: unknown error: net::ERR_NAME_NOT_RESOLVED
  (Session info: chrome=134.0.6998.88)
Stacktrace:
#0 0x561dfc594a1a <unknown>
#1 0x561dfc04c390 <unknown>
#2 0x561dfc043518 <unknown>
#3 0x561dfc033a39 <unknown>
#4 0x561dfc03573d <unknown>
#5 0x561dfc033dce <unknown>
#6 0x561dfc033775 <unknown>
#7 0x561dfc033449 <unknown>
#8 0x561dfc031159 <unknown>
#9 0x561dfc031a2a <unknown>
#10 0x561dfc04f829 <unknown>
#11 0x561dfc0ead85 <unknown>
#12 0x561dfc0c3bd2 <unknown>
#13 0x561dfc0ea07b <unknown>
#14 0x561dfc0c39a3 <unknown>
#15 0x561dfc08f60e <unknown>
#16 0x561dfc090dd1 <unknown>
#17 0x561dfc55addb <unknown>
#18 0x561dfc55ecbc <unknown>
#19 0x561dfc542392 <unknown>
#20 0x561dfc55f834 <unknown>
#21 0x561dfc5261ef <unknown>
#22 0x561dfc583038 <unknown>
#23 0x561dfc583216 <unknown>
#24 0x561dfc593896 <unknown>
#25 0x7f3f212b01c4 <unknown>
",,,,,,
j2hxoq.cc ,True,https://hgehxw.cc/#/login,,,,,,,
hgehxw.cc ,True,https://hgehxw.cc/#/login,,,,,,,
l2nxw.cc ,True,https://ivbzuarjjhurgh.cc/#/login,,,,,,,
g21gx.cc ,True,https://ihuouqzzw.cc/#/login,,,,,,,
gruvvipgs.com ,True,https://gruaviogs.com/#/,,,,,,,
gruaviogs.com ,True,https://gruaviogs.com/#/login,,,,,,,
trinityhkr.com ,True,http://trinityhkr.com/,,,,,,,
allisonworldxap.com ,True,http://allisonworldxap.com/,,,,,,,
tbscgplz.cc ,False,,"Both HTTPS and HTTP failed: Message: unknown error: net::ERR_SSL_VERSION_OR_CIPHER_MISMATCH
  (Session info: chrome=134.0.6998.88)
Stacktrace:
#0 0x561dfc594a1a <unknown>
#1 0x561dfc04c390 <unknown>
#2 0x561dfc043518 <unknown>
#3 0x561dfc033a39 <unknown>
#4 0x561dfc03573d <unknown>
#5 0x561dfc033dce <unknown>
#6 0x561dfc033775 <unknown>
#7 0x561dfc033449 <unknown>
#8 0x561dfc031159 <unknown>
#9 0x561dfc031a2a <unknown>
#10 0x561dfc04f829 <unknown>
#11 0x561dfc0ead85 <unknown>
#12 0x561dfc0c3bd2 <unknown>
#13 0x561dfc0ea07b <unknown>
#14 0x561dfc0c39a3 <unknown>
#15 0x561dfc08f60e <unknown>
#16 0x561dfc090dd1 <unknown>
#17 0x561dfc55addb <unknown>
#18 0x561dfc55ecbc <unknown>
#19 0x561dfc542392 <unknown>
#20 0x561dfc55f834 <unknown>
#21 0x561dfc5261ef <unknown>
#22 0x561dfc583038 <unknown>
#23 0x561dfc583216 <unknown>
#24 0x561dfc593896 <unknown>
#25 0x7f3f212b01c4 <unknown>
 | Message: unknown error: net::ERR_SSL_VERSION_OR_CIPHER_MISMATCH
  (Session info: chrome=134.0.6998.88)
Stacktrace:
#0 0x561dfc594a1a <unknown>
#1 0x561dfc04c390 <unknown>
#2 0x561dfc043518 <unknown>
#3 0x561dfc033a39 <unknown>
#4 0x561dfc03573d <unknown>
#5 0x561dfc033dce <unknown>
#6 0x561dfc033775 <unknown>
#7 0x561dfc033449 <unknown>
#8 0x561dfc031159 <unknown>
#9 0x561dfc031a2a <unknown>
#10 0x561dfc04f829 <unknown>
#11 0x561dfc0ead85 <unknown>
#12 0x561dfc0c3bd2 <unknown>
#13 0x561dfc0ea07b <unknown>
#14 0x561dfc0c39a3 <unknown>
#15 0x561dfc08f60e <unknown>
#16 0x561dfc090dd1 <unknown>
#17 0x561dfc55addb <unknown>
#18 0x561dfc55ecbc <unknown>
#19 0x561dfc542392 <unknown>
#20 0x561dfc55f834 <unknown>
#21 0x561dfc5261ef <unknown>
#22 0x561dfc583038 <unknown>
#23 0x561dfc583216 <unknown>
#24 0x561dfc593896 <unknown>
#25 0x7f3f212b01c4 <unknown>
",,,,,,
tbscgalw.cc ,True,http://tbscgalw.cc/,,Cloudflare,,,,,
